taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2475223	Corythaeola cristata (Vieillot, 1816)	2475223	Corythaeola cristata (Vieillot, 1816)	25	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Musophagiformes	1444	Musophagidae	5258	Corythaeola	2475222	Corythaeola cristata	2475223	LC
2489016	Creatophora cinerea (Meuschen, 1787)	2489016	Creatophora cinerea (Meuschen, 1787)	98	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Creatophora	2489015	Creatophora cinerea	2489016	LC
2494100	Euplectes gierowii Cabanis, 1880	2494100	Euplectes gierowii Cabanis, 1880	17	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Ploceidae	9336	Euplectes	2494085	Euplectes gierowii	2494100	LC
2484852	Telophorus bocagei (Reichenow, 1894)	5845132	Chlorophoneus bocagei (Reichenow, 1894)	19	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Malaconotidae	5250	Chlorophoneus	4846000	Chlorophoneus bocagei	5845132	LC
2492572	Muscicapa gambagae (Alexander, 1901)	2492572	Muscicapa gambagae (Alexander, 1901)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Muscicapa	2483240	Muscicapa gambagae	2492572	LC
6100938	Poeoptera sharpii (Jackson, 1898)	6100938	Poeoptera sharpii (Jackson, 1898)	21	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Poeoptera	2489058	Poeoptera sharpii	6100938	NE
7342167	Elminia nigromitrata (Reichenow, 1874)	7342167	Elminia nigromitrata (Reichenow, 1874)	65	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Stenostiridae	5845175	Elminia	2486689	Elminia nigromitrata	7342167	LC
2481831	Gallinago media (Latham, 1787)	2481831	Gallinago media (Latham, 1787)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Gallinago	2481808	Gallinago media	2481831	NT
2486673	Trochocercus cyanomelas (Vieillot, 1818)	2486673	Trochocercus cyanomelas (Vieillot, 1818)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Monarchidae	5256	Trochocercus	2486668	Trochocercus cyanomelas	2486673	LC
2498442	Phoeniculus castaneiceps (Sharpe, 1871)	2498442	Phoeniculus castaneiceps (Sharpe, 1871)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Bucerotiformes	716	Phoeniculidae	6178	Phoeniculus	2498437	Phoeniculus castaneiceps	2498442	LC
